; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 25 13:49:23 2019
; Channels (16/16)
; Sample rate: 4 MHz
; Sample count: 38.154112M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1.0948805,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1.0957455,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1.095747,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1.09574875,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1.09574975,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1.09575025,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1.0957515,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1.0957525,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1.09575275,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1.09575425,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1.095755,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1.09575675,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1.09575775,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1.0957595,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1.0957605,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1.09576225,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1.09576325,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1.095765,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1.095766,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1.09576775,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1.09576875,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1.0957705,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1.0957715,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1.095772,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1.095773,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1.09577425,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1.09577575,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1.09577675,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1.0957785,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1.0957795,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1.09578125,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1.09578225,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1.095784,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1.095785,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1.09578675,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1.09578775,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1.09578925,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
1.0957905,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
