; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 25 13:40:52 2019
; Channels (16/16)
; Sample rate: 4 MHz
; Sample count: 19.77056M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
2.08778375,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
2.08901375,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2.08901525,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2.08901725,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2.089018,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2.0890185,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2.08901975,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
2.08902075,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2.08902125,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2.0890225,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2.0890235,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2.08902525,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2.08902625,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2.089028,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2.089029,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2.08903075,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2.0890315,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2.08903325,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2.0890345,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2.089036,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2.089037,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2.08903875,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2.08903975,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2.08904025,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2.0890415,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
2.0890425,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2.08904425,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
2.08904525,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2.089047,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
2.089048,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
